unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
25,0,0,0,0,0,0,0,0,0,0,0,0.4842545712203796,0.21102486533210257,0.1853340166260915,0.2025001680711104,0.3341485257614075,0.3061231358791898,0.284562619029153,0,0
26,0,0,0,0,0,0,0,0,0,0.039193965664005036,0.8117225746757498,1.2552188103889388,3.526718029246706,9.792695412371966,3.284211976393288,1.8273379315967582,0.8189708605338064,1.3144265995966813,0.1856106408706167,0
27,0,0,0,0,0,0,0,0.9444119728058572,0.9512374330423748,0.052383990022506974,1.6706680919730013,3.2054334859390554,6.957277223831244,1.0193901054738688,0.022910896273772675,0.9484889380349962,0.6045949214026602,0,0,0
28,0,0,0,0,0,0,0,0,0.8671405029976175,1.214603554876307,1.7143653566161485,4.154247194322185,0.7953342329157969,0.25737452113993836,0.24794055887578742,0,0,0,0,0
29,0,0,0,0,0,0,0.007886435331230285,0.5211527114418915,1.2049460536322354,2.3668105809289917,6.4155263863536955,1.1470118399920786,0.49994800231295866,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0.5050554488067269,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0.0160256410256409,0.0160256410256409,0.4919871794871756,0.15993186954307653,0.1773792042992881,0.6470625015727506,0.5130919424249889,0.021676811862014825,0,0,0,0,0,0,0,0,0
32,0,0,0,0.00801282051282045,0.1405120347443047,0.8208131050145463,2.892631503113062,5.397754264135442,5.993442090540352,1.9055094335615959,0.1781317247418176,0,0,0,0,0,0,0,0,0
33,0,0,0,0.00988370103567205,0.5832885858572557,2.670254885306524,6.076510130186557,1.7480312862014808,0.41581499160766006,0,0,0,0,0,0,0,0,0,0,0
34,0,0.006598488281878012,0.09154591495592339,1.455480401994118,2.422734605140667,6.916714691989978,2.055994900231989,0.9536837432490762,0.4768418716245381,0,0,0,0,0,0,0,0,0,0,0
35,0,0.2872586809549116,0.00977397416950339,2.454030023745779,5.4024869145991286,0.6649534381235498,0.1648764769065521,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.015381302488694744,0.5505051098801095,3.173944434682343,0.24599358974358976,0.24599358974358976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
